Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,Primary Score,image_path_0,image_path_1,image_path_2
Hazelburn 8yo (Springbank),8.34,0.41,11,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Glenlivet Nadurra Oloroso,8.5,0.53,15,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Tomatin Cask Strength,8.33,0.49,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Glenglassaugh Octaves Classic,8.31,0.31,5,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 58),8.93,0.21,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 42),8.95,0.26,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 30),8.95,0.19,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 57),8.71,0.43,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Compass Box Eleuthera,8.59,0.39,16,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Glen Garioch 1991,8.93,0.23,3,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 45),8.99,0.22,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 56),9.08,0.22,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Redbreast 21yo,9.09,0.28,21,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt,5,,,
Two Brewers Release 17 Innovative,8.67,0.22,5,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Aberlour A'Bunadh (Batch 49),9.09,0.2,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Two Brewers Release 21 Classic,8.68,0.2,5,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Glenfiddich Malt Master's Edition,8.29,0.29,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 40),9.11,0.15,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Glen Scotia Double Cask,8.29,0.55,12,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 37),9.13,0.1,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Balvenie 12yo Triple Cask,8.3,0.43,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 33),9.13,0.15,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Shelter Point French Oak Double Barreled,8.73,0.4,4,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Aberlour A'Bunadh (Batch 65),8.78,0.23,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 48),8.78,0.51,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Yamazaki Limited Edition 2016,8.91,0.29,3,$$$$$+,SingleMalt-like,EF,E,Japan,Malt,5,,,
Aberlour A'Bunadh (Batch 50),8.79,0.36,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Two Brewers Release 22 Innovative,8.9,0.2,4,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
GlenDronach 14yo Sauternes Cask Finish,8.33,0.41,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Glen Moray Classic Port Cask finish,8.33,0.21,5,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 60),8.8,0.23,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Balvenie 12yo Doublewood,8.4,0.32,29,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Auchentoshan Three Wood,8.28,0.41,30,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Ledaig 13yo Amontillado Cask Finish,8.98,0.2,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
GlenDronach Cask Strength (batch 1),9.05,0.27,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Green Spot Chateau Montelena,8.44,0.27,7,$$$$,SingleMalt-like,ABC,C,Ireland,Blend,5,,,
Aberlour A'Bunadh (Batch 35),9.0,0.24,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 52),9.01,0.22,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 44),9.01,0.15,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Highland Park Harald,8.2,0.47,13,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Two Brewers Innovative (all releases),8.6,0.22,8,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Mackmyra Midvinter,8.48,0.59,3,$$$,SingleMalt-like,ABC,C,Sweden,Malt,5,,,
Bruichladdich Port Charlotte 10yo Heavily Peated (Second Edition),8.85,0.36,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Singleton of Dufftown Tailfire,8.23,0.42,5,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
GlenDronach Cask Strength (batch 5),8.72,0.26,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Two Brewers Release 04 Special Finishes,8.63,0.2,5,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Aberlour A'Bunadh (Batch 53),9.04,0.12,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
"Ben Nevis 10yo (old label, pre-2017)",8.24,0.46,12,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Two Brewers Release 27 Innovative,8.86,0.25,3,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Aberlour 10yo,8.25,0.4,19,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Yamazaki Mizunara,8.96,0.22,9,$$$$$+,SingleMalt-like,EF,E,Japan,Malt,5,,,
Kilchoman Bourbon Single Cask,8.95,0.25,15,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Glen Garioch 1994,8.95,0.41,8,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Aberlour 18yo,8.74,0.28,15,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 39),9.03,0.22,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
GlenDronach Cask Strength (batch 2),9.04,0.14,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
GlenDronach Cask Strength (batch 3),8.86,0.26,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Singleton of Dufftown Spey Cascade,7.44,0.63,3,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Bowmore 17yo White Sands,8.59,0.32,7,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Bruichladdich Port Charlotte An Turas Mor,8.74,0.27,13,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Arran Malt Orkney Bere Barley,8.78,0.34,8,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Glenfiddich 15yo Solera,8.54,0.29,33,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 32),8.82,0.71,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Balvenie 15yo Single Barrel (Cask),8.76,0.37,29,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Bruichladdich Laddie Sixteen 16yo,8.76,0.22,14,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Kilchoman Sanaig,8.7,0.25,23,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Glenmorangie Spios Private Edition No 9,8.76,0.24,12,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Glenfiddich Vintage Cask,8.51,0.28,7,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Kilkerran Work in Progress Bourbon Wood,8.76,0.43,15,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Bruichladdich Port Charlotte Scottish Barley Heavily Peated,8.7,0.26,23,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Compass Box Enlightenment,8.75,0.19,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
AnCnoc 16yo,8.73,0.33,17,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Springbank 10yo,8.72,0.28,28,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Glencadam Origin 1825 (NAS),8.19,0.14,7,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Arran Malt 14yo,8.68,0.25,26,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Oban 14yo,8.48,0.38,30,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Macallan 12yo Fine Oak,8.43,0.39,19,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Glen Garioch 1997,8.42,0.24,7,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Caol Ila 12yo,8.72,0.18,25,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 59),8.82,0.22,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Tamdhu Batch Strength (all batches),8.64,0.53,18,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour 16yo Double Cask Matured,8.61,0.17,17,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
BenRiach Peated Quarter Casks,8.53,0.39,4,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
GlenDronach 12yo Sauternes Cask Finish,8.83,0.18,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Glen Deveron 10yo (Macduff),7.95,0.38,5,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Bowmore 12yo Enigma,8.56,0.37,12,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Talisker Storm,8.59,0.26,24,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Arran Malt Machrie Moor Cask Strength,8.57,0.65,7,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Longrow 7yo Gaja Barolo Finish,8.62,0.53,9,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Two Brewers Release 14 Innovative,8.77,0.33,6,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Bruichladdich Islay Barley (all vintages),8.62,0.2,20,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Singleton of Dufftown 12yo,7.91,0.48,12,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Balvenie 16yo Triple Cask,8.58,0.24,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Glenlivet Founder's Reserve,7.93,0.34,20,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Singleton of Glendullan 12yo,8.0,0.43,15,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Bowmore 18yo,8.56,0.42,26,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
GlenDronach Cask Strength (batch 6),8.83,0.2,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Game of Thrones The Night’s Watch Oban Bay Reserve,8.57,0.31,11,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Singleton of Dufftown Unité,8.03,0.33,4,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Two Brewers Release 05 Innovative,8.06,0.77,6,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Kilchoman Sauternes Cask Matured,8.66,0.15,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Macallan 12yo Sherry Oak,8.55,0.41,29,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Big Peat (Douglas Laing),8.66,0.27,21,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Tomatin 12yo,8.09,0.4,23,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Kilkerran 12yo,8.84,0.22,24,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Oban Little Bay,8.41,0.35,17,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Longrow 10yo,8.66,0.44,16,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Bowmore 10yo Tempest,8.77,0.24,21,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 61),8.82,0.21,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
White Oak Akashi 14yo,8.85,0.55,3,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt,5,,,
Bruichladdich 8yo Laddie Eight,8.16,0.68,4,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
GlenDronach 14yo Virgin Oak,8.51,0.38,11,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Bruichladdich Port Charlotte 10yo Heavily Peated (First Edition),8.77,0.22,9,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
GlenDronach 15yo Tawny Port Finish,8.65,0.51,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Old Ballantruan Peated (Toumintoul),8.1,0.59,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 69),8.82,0.06,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
AnCnoc Peter Arkle (all releases),8.48,0.3,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Arran Malt Machrie Moor Peated (all editions),8.06,0.57,17,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Glenlivet Nadurra Peated Cask Finish,8.81,0.25,4,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Talisker 10yo,8.82,0.22,31,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Macallan Whisky Maker's Edition,8.51,0.39,14,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Green Spot Chateau Leoville Barton,8.82,0.35,14,$$$$,SingleMalt-like,ABC,C,Ireland,Blend,5,,,
GlenDronach Cask Strength (all batches),8.85,0.16,25,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Ben Nevis 10yo (post-2017),8.85,0.36,9,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Bruichladdich Port Charlotte PC10 (Second Edition),8.84,0.19,7,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 62),8.66,0.33,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 47),8.85,0.29,11,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 38),8.67,0.18,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Ben Nevis 10yo (all editions),8.52,0.5,17,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Two Brewers Release 23 Special Finishes,8.89,0.29,5,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Aberlour A'Bunadh (Batch 66),8.84,0.22,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Glenglassaugh Octaves Peated,8.35,0.59,3,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Monkey Shoulder,8.28,0.38,23,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Springbank 12yo Green,8.75,0.32,8,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Game of Thrones House Greyjoy Talisker Select Reserve,8.75,0.38,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Kilkerran Work in Progress,8.58,0.36,15,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Singleton of Glen Ord 12yo,8.29,0.32,7,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
GlenDronach 15yo Revival,8.84,0.27,27,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Benromach Sassicaia,8.32,0.31,9,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Red Spot 15yo,8.65,0.36,10,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt,5,,,
Aberlour Casg Annamh,8.52,0.31,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Glen Scotia 12yo,8.34,0.39,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Bruichladdich Black Art 2.x 1989,9.03,0.24,9,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Craigellachie 23yo,8.91,0.21,13,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Mackmyra Reserve Single Cask (various casks),9.01,0.5,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Highland Park 40yo,9.16,0.44,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Highland Park 25yo,9.18,0.18,19,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Bruichladdich Black Art 6.x 1990,9.09,0.21,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Glenlivet XXV 25yo,8.9,0.21,14,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Tomatin 40yo,8.92,0.37,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Bruichladdich Black Art 7.x 1994,9.16,0.13,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Highland Park 21yo,8.89,0.37,18,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)",9.42,0.24,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Highland Park 16yo Thor,8.88,0.29,14,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Bruichladdich Black Art 3.x 1989,9.11,0.37,15,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Highland Park 16yo Odin,9.06,0.29,7,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Springbank 21yo,9.0,0.24,16,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Glenfiddich 30yo,9.14,0.19,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Teeling Single Malt,8.33,0.32,12,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,4,,,
Cragganmore 25yo,9.01,0.05,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Glenlivet Alpha,8.96,0.09,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Bruichladdich Black Art 8.x 1994,9.1,0.27,3,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Timorous Beastie 40yo Cask Strength,8.98,0.3,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Highland Park 30yo,9.13,0.41,14,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Laphroaig 25yo,9.12,0.28,23,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Bushmills Sherry Cask Reserve,8.24,0.4,5,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,4,,,
High Coast (Box) PX - Pedro Ximénez Finish,8.83,0.19,9,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt,4,,,
Highland Park 15yo Loki,8.97,0.29,18,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Aultmore 25yo,8.97,0.24,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Kavalan Solist Port Cask,8.93,0.31,19,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Glencadam 25yo,9.06,0.05,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Redbreast 12yo Cask Strength,9.03,0.27,27,$$$$,SingleMalt-like,EF,E,Ireland,Malt,4,,,
Redbreast Lustau Edition,8.67,0.32,20,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,4,,,
Nikka Pure Malt Red,8.52,0.32,10,$$$,SingleMalt-like,EF,E,Japan,Malt,4,,,
Hibiki 17yo,8.79,0.31,20,$$$$$,SingleMalt-like,EF,E,Japan,Blend,4,,,
Tyrconnell 10yo Madeira Cask Finish,8.53,0.36,12,$$$$,SingleMalt-like,EF,E,Ireland,Malt,4,,,
Blue Spot 7yo Cask Strength,8.73,0.1,3,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,4,,,
Highland Park 15yo Fire,8.73,0.35,11,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Kininvie 17yo (all batches),8.76,0.29,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Ardbeg Galileo,8.64,0.58,20,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
High Coast (Box) The Messenger,8.5,0.43,4,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Kininvie 23yo (all batches),8.48,0.4,9,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
High Coast (Box) The 2nd Step Collection 02,8.8,0.15,9,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Mackmyra Moment Jakt,8.18,0.57,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Macallan 21yo Fine Oak,8.46,0.36,7,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Bruichladdich Black Art 1989,8.45,0.56,5,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Mackmyra Moment Källa,8.45,0.29,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Smogen Primör,8.44,0.26,4,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt,4,,,
Mackmyra Moment Solsken,8.42,0.56,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Macallan 25yo Fine Oak,8.61,0.27,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Knappogue Castle 16yo Twin Wood,8.69,0.44,7,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,4,,,
Macallan 30yo Fine Oak,8.52,0.37,6,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Knappogue Castle 14yo Twin Wood,8.38,0.4,7,$$$$,SingleMalt-like,EF,E,Ireland,Malt,4,,,
Mackmyra Moment Malström (Maelstrom),8.38,0.81,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Mackmyra Moment Glöd,8.82,0.46,4,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Ledaig 42yo Dusgadh,9.48,0.19,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Mackmyra Moment Urberg,8.81,0.28,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Bruichladdich Black Art 5.x 1992,8.87,0.32,11,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Mackmyra Skordetid,8.5,0.67,6,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt,4,,,
BenRiach 25yo,8.8,0.45,17,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Mackmyra Moment Rimfrost,8.72,0.4,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Spirit of Hven Sankt Claus,8.55,0.58,3,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt,4,,,
Redbreast 15yo,8.74,0.26,20,$$$$,SingleMalt-like,EF,E,Ireland,Malt,4,,,
Balvenie 25yo Single Barrel,8.68,0.79,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Bowmore 25yo,8.8,0.48,11,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Bruichladdich Black Art 4.x 1990,8.71,0.55,18,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Mortlach 18yo,8.68,0.63,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Strathmill 25yo,8.76,0.48,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,4,,,
Mackmyra Special 01,7.54,0.45,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Glenfiddich Snow Phoenix,8.79,0.38,13,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,4,,,
Storas 21yo Rare Cask Reserves Blended,8.64,0.11,5,$$$,SingleMalt-like,EF,E,Scotland,Blend,4,,,
Mackmyra Special 03,8.66,0.29,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,4,,,
Macallan 10yo Fine Oak,8.27,0.34,21,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Edradour 10yo,8.24,0.68,18,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Glenfarclas 12yo,8.58,0.32,24,$$$,SingleMalt-like,ABC,C,Scotland,Malt,3,,,
Aberfeldy 12yo,8.12,0.33,24,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Deveron 12yo,8.27,0.31,7,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Wemyss Malts Smooth Gentleman,8.28,0.12,3,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Nikka Taketsuru 17yo,8.77,0.27,16,$$$$$,SingleMalt-like,EF,E,Japan,Malt,3,,,
Singleton of Dufftown 15yo,8.29,0.21,8,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Highland Park Magnus (2017),8.59,0.18,8,$$$,SingleMalt-like,ABC,C,Scotland,Malt,3,,,
Macallan Amber,8.24,0.44,15,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Strathisla 12yo,8.21,0.28,15,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Mars Iwai Tradition,7.6,0.85,8,$$$$,SingleMalt-like,EF,E,Japan,Blend,3,,,
Glenrothes Manse Reserve,8.12,0.93,3,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Speyside 10yo,7.7,0.64,4,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Singleton of Glen Ord Signature,7.79,0.39,3,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Glenrothes Select Reserve,7.79,0.33,15,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Game of Thrones House Tully Singleton Glendullan Select,7.87,0.42,6,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Glenrothes 12yo,8.17,0.87,7,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Tullibardine 228 Burgundy Finish,8.03,0.33,6,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Miltonduff 10yo (F&F),8.04,0.45,4,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Auchroisk 10yo (F&F),8.16,0.09,4,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Glenlivet 12yo,8.06,0.33,26,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Auchentoshan 12yo,8.29,0.27,26,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
Glenfiddich Select Cask,8.16,0.38,11,$$$,SingleMalt-like,EF,E,Scotland,Malt,3,,,
